method,component,ic_variance,ic_std,excess_kurtosis,abs_excess_kurtosis,robust_peak_density,max_abs_robust_z,lag1_autocorr,lag5_autocorr,lag10_autocorr,window_variance_ratio,zero_crossing_rate,spectral_total_power,peak_freq_hz,low_freq_power_ratio,high_freq_power_ratio,spectral_entropy,narrowband_ratio,loading_l1,loading_l2,loading_hoyer_sparsity,max_median_loading_ratio,strong_loading_fraction,behavior_corr_angle,behavior_corr_vigor,behavior_corr_bout_state,max_abs_behavior_corr,artifact_score,protect_score,artifact_flags,protect_flags,recommendation,mean_abs_delta,rms_delta,reference_corr_full,reference_corr_removed,variance_ratio_median_removed,reference_corr_delta,behavior_corr_full_angle,behavior_corr_removed_angle,behavior_corr_delta_angle,behavior_corr_full_vigor,behavior_corr_removed_vigor,behavior_corr_delta_vigor,behavior_corr_full_bout_state,behavior_corr_removed_bout_state,behavior_corr_delta_bout_state
fastica,11,1.0,1.0,8.580594416101349,8.580594416101349,0.019836272040302267,10.134093425268347,0.83599123518706,0.7950285202114102,0.7429595743180526,6.190237331388968,0.3111811023622047,30.13953527717184,0.021184800000000004,0.7940108065078885,0.0,0.5962319376940899,168.09730914916338,278.0399270483736,16.284721730515006,0.4269979990336987,25.98041566645038,0.1481042654028436,0.02876663041528274,0.03437657280558088,0.02434759864147635,0.03437657280558088,0.6616666666666667,0.5666666666666667,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.2060444775310747,0.5605432387957295,0.9826328017611705,0.9802331538603196,0.6149275791351091,-0.0023996479008508986,-5.953218089406209e-05,0.00279406114891934,0.002734528968025278,-0.032785445498228254,-0.0295359541403862,-0.003249491357842055,-0.04940592518007155,-0.04723298160809214,-0.002172943571979412
fastica,43,0.9999999999999997,0.9999999999999998,12.18752213480511,12.18752213480511,0.017947103274559194,10.371951792221642,0.7833932178604441,0.7219190978956744,0.6767404677825466,7.82325665234248,0.3184251968503937,33.38955003498292,0.021184800000000004,0.7383675918494983,0.0,0.6723098942228285,107.11727936101389,231.77687527982494,12.525508905901253,0.37599498221066496,22.86373885665326,0.07345971563981042,0.010502190311064055,-0.04487177914241013,-0.049748395220945964,0.049748395220945964,0.6383333333333334,0.5333333333333333,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.17477614626711324,0.4311457970155072,0.9826328017611705,0.9812138727640374,0.6110247988521604,-0.0014189289971331398,-5.953218089406209e-05,-0.001495008614913554,0.001435476434019492,-0.032785445498228254,-0.026959179786724918,-0.005826265711503336,-0.04940592518007155,-0.04306778136401652,-0.0063381438160550335
fastica,12,1.0000000000000002,1.0,15.336436873507846,15.336436873507846,0.012594458438287154,11.631148322107089,0.8357606396996706,0.7917941423667032,0.7225198935212414,8.130742425579706,0.2620472440944882,33.788056905026785,0.021184800000000004,0.8075085202301041,0.0,0.6209087609998886,118.4363916625647,171.65266449090257,9.210025197435543,0.3712465628103728,19.9808350128952,0.07345971563981042,0.021807293805087037,0.03292814310921559,0.026004344528549973,0.03292814310921559,0.5950000000000001,0.5599999999999999,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.13101238080471783,0.31702214130480755,0.9826328017611705,0.9818658865088499,0.6215647389029122,-0.0007669152523206435,-5.953218089406209e-05,0.0015950758751090452,0.0015355436942149831,-0.032785445498228254,-0.030381049832270992,-0.0024043956659572617,-0.04940592518007155,-0.04757470282262379,-0.0018312223574477593
fastica,31,0.9999999999999999,0.9999999999999999,7.331003695289331,7.331003695289331,0.03809823677581864,9.740926975828176,0.8536643311036733,0.819660905362089,0.800063725480304,12.291603410430543,0.29448818897637796,20.6683897773611,0.021184800000000004,0.7183763736718156,0.0,0.6734781816179894,118.02080952496328,248.51065580303094,12.81456670988933,0.3443235225018127,12.5671633235868,0.09360189573459715,-0.025262009794323755,-0.03910906958862652,-0.03977125769847928,0.03977125769847928,0.5783333333333334,0.5533333333333333,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.18124791424880068,0.4410955769582029,0.9826328017611705,0.9811475761904259,0.6147691567810718,-0.0014852255707445972,-5.953218089406209e-05,5.431534142102531e-05,-5.216839473036778e-06,-0.032785445498228254,-0.03260952586078287,-0.00017591963744538475,-0.04940592518007155,-0.04922719004646596,-0.00017873513360559118
fastica,32,0.9999999999999997,0.9999999999999998,24.326444778706865,24.326444778706865,0.017317380352644837,14.150012265594436,0.817347482593704,0.7808408512795356,0.723410742841949,10.982015669992554,0.32881889763779526,42.50395342163805,0.021184800000000004,0.8280007103025429,0.0,0.5476406451805436,171.23642132036485,328.94567540189803,18.667015992340016,0.40745933532590406,20.28682498549839,0.12322274881516587,0.06807927980218209,0.07601527448338256,0.06524865248007014,0.07601527448338256,0.6983333333333334,0.7466666666666666,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.22385641617361918,0.6425451890523054,0.9826328017611705,0.979478497069717,0.6011108368316354,-0.0031543046914535022,-5.953218089406209e-05,-0.02213602850362527,0.022076496322731207,-0.032785445498228254,-0.05911223615425807,0.026326790656029816,-0.04940592518007155,-0.0730936336301531,0.02368770845008155
fastica,28,1.0,1.0,15.684232503262237,15.684232503262237,0.030541561712846346,14.647638682846987,0.8750303137442275,0.8513283205692244,0.8178365670945873,16.68684443398867,0.31181102362204727,30.139028485832153,0.021184800000000004,0.8356407734465315,0.0,0.48395731204042947,278.7696346041706,328.6127336188342,16.875861846193114,0.34148849786286595,11.54325320105624,0.09123222748815166,0.012193341448128125,-0.002935552961330437,-0.02044331289761625,0.02044331289761625,0.6749999999999999,0.6000000000000001,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.2182118324652079,0.5808911207250458,0.9826328017611705,0.9800555427853155,0.5960149125168269,-0.0025772589758550346,-5.953218089406209e-05,-0.0015096988670413585,0.0014501666861472964,-0.032785445498228254,-0.032667339149868864,-0.00011810634835938971,-0.04940592518007155,-0.047323269638588225,-0.002082655541483326
fastica,7,1.0,1.0,94.39396056104019,94.39396056104019,0.011335012594458438,36.010472462140584,0.9100994837398496,0.8627731743412494,0.7917856646184849,18.239613328424262,0.2683464566929134,12.791913343936743,0.021184800000000004,0.7295572117176797,0.0,0.7120520878414479,77.50828595817461,295.51164364455883,17.42029512472864,0.4309202615009752,25.197265326394295,0.09360189573459715,-0.0676080344716841,-0.03837140015089556,-0.03553340882712547,0.0676080344716841,0.6749999999999999,0.7333333333333334,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.16495949503492524,0.5996312870176403,0.9826328017611705,0.9798863334142779,0.5994212369469334,-0.0027464683468926276,-5.953218089406209e-05,0.013910456920063203,0.01385092473916914,-0.032785445498228254,-0.025548694038050407,-0.007236751460177847,-0.04940592518007155,-0.04310682129341654,-0.006299103886655014
fastica,15,1.0,1.0,46.08484333853903,46.08484333853903,0.010705289672544081,20.44634347027837,0.7874365916197397,0.6851817049947343,0.5939451414437231,9.126703595709987,0.35590551181102364,36.978642973249805,0.021184800000000004,0.7713651725584824,0.0,0.6685060718346736,123.84528414915282,195.73903058861328,11.593287373355977,0.43376561819462833,29.004810118904707,0.13033175355450238,0.009542560262972554,0.06423902143991451,0.06421313600495324,0.06423902143991451,0.6683333333333334,0.6333333333333334,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.12854765147296893,0.39905740853854177,0.9826328017611705,0.9814173489261087,0.6256698373410745,-0.0012154528350618587,-5.953218089406209e-05,0.002206716244632355,0.0021471840637382928,-0.032785445498228254,-0.018431451295535608,-0.014353994202692646,-0.04940592518007155,-0.03552102587737465,-0.013884899302696901
fastica,10,1.0,1.0,26.259666278167728,26.259666278167728,0.015113350125944584,15.565198102004967,0.841255793520686,0.7774987289958455,0.6874542149467627,8.797763351118665,0.29543307086614173,40.53320684417331,0.04236960000000001,0.8432089706691064,0.0,0.5789268527629424,167.46967944268272,305.211468435415,17.730465866134697,0.42199691359453756,21.945817029957055,0.0995260663507109,0.0011933617846117373,-0.05002736248036113,-0.03982451190253522,0.05002736248036113,0.6683333333333333,0.7400000000000001,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.21276144669514918,0.6103078042369448,0.9826328017611705,0.9797875169651761,0.6062934178374504,-0.0028452847959944405,-5.953218089406209e-05,0.00018546618920635096,0.00012593400831228886,-0.032785445498228254,-0.04379943818192757,0.01101399268369932,-0.04940592518007155,-0.0586647097487263,0.009258784568654747
fastica,24,1.0,1.0,8.93869481727014,8.93869481727014,0.013853904282115869,10.683348196159978,0.7950625844449685,0.7342414508405036,0.6305978647132227,5.158713737937807,0.29322834645669293,36.40754401465485,0.021184800000000004,0.7758251594403138,0.0,0.6588500964851111,126.06882911142743,209.65775590809307,12.292709854074495,0.42764726463437436,27.600337751281714,0.1018957345971564,0.05282276433942983,0.04916661473629303,0.04968990066831267,0.05282276433942983,0.595,0.6333333333333333,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,keep,0.16582427963897314,0.42313252318381384,0.9826328017611705,0.9812661634151311,0.6163563212021386,-0.0013666383460394504,-5.953218089406209e-05,-0.0016088845730210172,0.0015493523921269552,-0.032785445498228254,-0.034241634419460244,0.0014561889212319906,-0.04940592518007155,-0.050884610087315665,0.0014786849072441141
