target,task,method,selection_id,clusters_kept,score_metric,score,delta_vs_prev,delta_vs_raw,variant
tail_vigor,regression,jade,keep_top_01,1.0,r2_mean,-0.6145242713999522,,1.775447199312869,jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,jade,keep_top_02,2.0,r2_mean,-0.8444821213560477,-0.22995784995609547,1.5454893493567736,jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,jade,keep_top_03,3.0,r2_mean,-0.8782550353459735,-0.03377291398992577,1.5117164353668477,jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,jade,keep_top_04,4.0,r2_mean,-0.8125014447484873,0.0657535905974862,1.577470025964334,jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,jade,keep_top_05,5.0,r2_mean,-0.7127421281420683,0.09975931660641901,1.677229342570753,jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,jade,keep_top_06,6.0,r2_mean,-0.7937387899393854,-0.08099666179731713,1.596232680773436,jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_01,1.0,r2_mean,-0.9037096247061045,,1.4862618460067167,sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_02,2.0,r2_mean,-0.6481129636398646,0.2555966610662399,1.7418585070729566,sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_03,3.0,r2_mean,-0.7794043783126435,-0.13129141467277894,1.6105670924001778,sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_04,4.0,r2_mean,-0.8364120636032146,-0.0570076852905711,1.5535594071096066,sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_05,5.0,r2_mean,-1.0516311964088687,-0.21521913280565408,1.3383402743039525,sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,sobi,keep_top_06,6.0,r2_mean,-1.1058909771420784,-0.054259780733209695,1.2840804935707428,sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence
