variant,target_shift,fold,n_train,n_test,dynamic_mse,angle_r2,angle_pearson,vigor_r2,vigor_pearson,bout_balanced_accuracy,bout_roc_auc
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,1.986914897888175,0.044279210818122694,0.21512717567529221,-0.0023457272773463878,0.04053002034055178,0.5226715522984677,0.5158960692871419
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,1.5109461174433736,0.029213651055943424,0.1981491327536919,-0.0017682825993992068,0.04659660182809445,0.5121311742650655,0.5137205890343965
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,3.408269383729639,0.023484429652138927,0.15853585328655892,0.008761168040841705,0.10506968263093461,0.5280084991307707,0.564960401777091
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,3.2759213711042157,0.029519743480392213,0.1885317714772981,0.0032488650891542292,0.0743687501578385,0.5077563206708169,0.5086393088552916
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,1.210809126914511,0.03347795912756324,0.18929679294089952,0.01092999634297187,0.15578168164405498,0.5772060937050876,0.5875682667433171
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,1.660509804322188,0.04383511648605731,0.21384509767003584,-0.003057720528663266,0.03509327627451327,0.5173884077281812,0.5110459693537641
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,1.1825875922887983,0.027721209490620846,0.1950651913309028,-0.0024104751473210673,0.04139044893231421,0.5197793837961202,0.5071727435744171
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,6.522878173012259,0.022929437994439916,0.1573561012366997,0.008599409500008814,0.10357180565707638,0.5313823964973279,0.5626167020797116
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,5.52878831972465,0.02785802121388714,0.18472692076474134,0.007013458689856811,0.0872276882362772,0.49863422690890613,0.5131495362723923
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,2.4305635116933897,0.034909000097149034,0.1939131533237783,0.008804152312438362,0.149414760367207,0.5776659959758552,0.5840471399827536
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,3.2709160578055276,0.04215227237396024,0.2096115073640471,-0.006485636405633377,0.02043221561926855,0.5078880746169221,0.505423051299134
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,2.4662524763377327,0.02908652237928755,0.1961707602670426,-0.0029888336951973127,0.03858241014169329,0.5104330815627887,0.5013584741618216
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,6.042813933806947,0.023025683367030703,0.1562685075016337,0.008695038766114771,0.10378709930634643,0.5392891636082673,0.563196188268624
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,5.308482606209745,0.027827426753491813,0.183747808029219,0.006847564994377553,0.08649530881523007,0.4964743996950832,0.5127683902934824
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,2.3057852322926204,0.034974729767261126,0.19372439557992413,0.008745755813265643,0.14927364201752957,0.5776659959758552,0.58381718884737
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,3.1001525289726426,0.04241844033148923,0.2099666003625594,-0.006488675424033641,0.01996469194086759,0.5131645569620253,0.5046235842771486
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,2.33196915343508,0.028458958022606784,0.19641354556035487,-0.0031310337790098064,0.03805728142945718,0.5082323534206379,0.5010460251046025
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,0,2527,632,5.423661858079481,0.022513588079330682,0.15508419516477612,0.009329557067616845,0.10460633716705711,0.537750305839933,0.563286330564677
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,1,2523,633,4.888591648682312,0.0279811849285444,0.18433196868465515,0.005835153648506952,0.08212542948880858,0.49803709820861386,0.5108118409350781
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,2,2524,632,2.089432566389657,0.035010965723471066,0.19391177678374175,0.009282837560002699,0.14973155900456808,0.5761856855418224,0.5845357861454441
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,3,2523,633,2.770726261502027,0.04318218132506968,0.21210564315889896,-0.006443850231513171,0.019247658923122437,0.5215856095936042,0.5036242504996669
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,4,2527,632,2.089444035549272,0.029592824537304274,0.19666392581320052,-0.002559845336038258,0.04160159822843943,0.5060316252784872,0.503613541270445
